county,obe_21,fei_20,pi_20,aeo_20,uni_20,ieq_20,reg
La Paz,0,6.1999998,39.599998,39.099998,19.799999,5.1999998,1
Maricopa,0,7.6999998,20.4,91.599998,12.1,4.5,1
Mohave,0,5.8000002,32.200001,58.599998,13.4,4.1999998,1
Navajo,1,4.5999999,28.9,56.299999,15.1,5.8000002,1
Pima,0,7.5,19.799999,87.800003,10.9,4.8000002,1
Pinal,1,7.5999999,28.5,66,11,4.0999999,1
Santa Cruz,0,7.8000002,20.299999,66.699997,14,4.5999999,1
Yavapai,0,6.8000002,23.200001,84.5,12.9,4.1999998,1
Yuma,1,6.8000002,26.299999,83.599998,14.2,4.4000001,4
Arkansas,1,5.5,38.200001,48,8.8999996,5.5999999,4
Ashley,1,6,47.400002,50.099998,9.1999998,5.1999998,4
Baxter,0,7.6999998,29.799999,65.099998,8.3999996,3.8,4
Benton,0,8.1999998,23.799999,77.300003,10.4,4.1999998,4
Boone,0,7,30.200001,54,8.6000004,4,4
Bradley,0,6.5,40.799999,67,11.6,5.5,4
Calhoun,0,4.5999999,37.099998,10.6,8.3000002,5.0999999,4
Carroll,0,8.1000004,33.5,52.200001,12.8,3.9000001,4
Chicot,1,2.9000001,35.599998,29.4,8.8999996,6.3000002,4
Clark,0,5.0999999,38.299999,66.900002,7.1999998,4.9000001,4
Clay,1,7.0999999,31.9,52.200001,8.6999998,5,4
Cleburne,1,7.5999999,34.299999,65.800003,9.1000004,3.9000001,4
Cleveland,1,7,32.900002,1.2,8.8999996,4.8000002,4
Columbia,1,5.9000001,34.299999,41.700001,8.3000002,6,4
Conway,1,6.9000001,38.299999,42.900002,8.5,4.6999998,4
Craighead,1,6.6999998,34,64.599998,7.9000001,4.8000002,4
Crawford,1,7.4000001,31,74.400002,9.8999996,4.1999998,4
Crittenden,1,5.8000002,37.799999,73,8,4.6999998,4
Cross,1,6.6999998,36.5,49.700001,8.8000002,4.5,4
Dallas,1,5.5,44.599998,18.5,8.1000004,4.0999999,4
Desha,1,4.0999999,36.799999,59.900002,9.5,5.0999999,4
Drew,1,5.8000002,30.1,40,8.3999996,6.0999999,4
Faulkner,1,7.1999998,30.200001,55.200001,8,4.9000001,4
Franklin,1,7.4000001,37,65.900002,9.3999996,5.6999998,4
Fulton,0,6.5,29.9,44.299999,9.6000004,4.6999998,4
Garland,0,6.5999999,34.900002,78,9.8000002,4.6999998,4
Grant,1,7.8000002,39,26.6,6.0999999,4.9000001,4
Greene,1,7,33.400002,40.099998,7,4.1999998,4
Hempstead,0,5.8000002,36.400002,63.700001,10.8,4.4000001,4
Hot Spring,1,7.1999998,37.5,24.9,7.5999999,4.5,4
Howard,1,5.6999998,29.5,10.1,11.6,4.9000001,4
Independence,0,7.1999998,29.799999,50.700001,8.1000004,4.1999998,4
Izard,0,7.6999998,30.5,49.900002,10.4,4.1999998,4
Jackson,1,6,33.099998,36.099998,8.6999998,4.9000001,4
Jefferson,1,5.4000001,34.099998,53.200001,7.1999998,5.0999999,4
Johnson,1,7.5999999,28.9,60.599998,10.6,4.3000002,4
Lafayette,1,5.8000002,45.400002,13.7,10.6,6.1999998,4
Lawrence,1,6.3000002,31,43.099998,8.3000002,4.5,4
Lee,1,3.4000001,33.400002,43,8.6000004,6.9000001,4
Lincoln,1,5.6999998,40,39,9.3999996,5,4
Little River,1,6.8000002,35.200001,62.099998,9,5,4
Logan,0,7.3000002,35.299999,72.599998,9.6000004,4.0999999,4
Lonoke,1,7.5,32.700001,46.700001,7.0999999,4,4
Madison,0,7,30.9,47.599998,11.5,4.8000002,4
Marion,0,7.1999998,29.9,19.299999,9.6999998,4.6999998,4
Miller,1,5.8000002,40,64.800003,8.1000004,4.9000001,4
Mississippi,1,5.6999998,38,71.699997,7.5999999,4.8000002,4
Monroe,1,5.6999998,37.400002,57,8.5,6.3000002,4
Montgomery,0,6.9000001,24.4,97.900002,11.4,4.5,4
Nevada,1,5.5999999,41.299999,40.400002,8.3999996,4.3000002,4
Newton,1,6.1999998,26.1,59.099998,9.6000004,4.5999999,4
Ouachita,1,5.1999998,34.400002,41.599998,7,5.5,4
Perry,1,7.4000001,28.1,46.099998,8.8999996,3.7,4
Phillips,1,2.4000001,40.299999,12.7,7.3000002,6,4
Pike,0,7,37.400002,50.700001,12,3.9000001,4
Poinsett,1,5.6999998,40.200001,33.799999,9.5,4.1999998,4
Polk,1,5.6999998,31.4,60.5,13,4.1999998,4
Pope,1,7.1999998,31.799999,68.099998,10.5,4.9000001,4
Prairie,1,5.8000002,47.099998,40.700001,9.1999998,4.5999999,4
Pulaski,1,6.1999998,29.5,83.599998,7.6999998,5,4
Randolph,0,6.3000002,33.200001,41.5,8.8999996,4.4000001,4
St. Francis,1,4.5,40.099998,62.099998,8.5,5.1999998,4
Saline,0,7.9000001,27.200001,58.599998,7.5,3.7,4
Scott,1,7.1999998,37.400002,88.5,11.7,4.5999999,4
Searcy,0,6.4000001,31.299999,23.299999,10,4.6999998,4
Sebastian,1,7.3000002,30,78.199997,12.9,4.5999999,4
Sevier,0,7.4000001,37,56.299999,17.700001,4.0999999,4
Sharp,1,6.5,34.900002,45.099998,10.5,4.0999999,4
Stone,1,6.3000002,32.5,57.5,11.9,4.9000001,4
Union,1,5.8000002,32.599998,48.099998,8.8999996,5.6999998,4
Van Buren,1,7.0999999,30.700001,57.400002,9.8000002,4.6999998,4
Washington,0,7.5,25.4,86.400002,12.4,4.6999998,4
White,0,7.3000002,30.6,57,8.5,5,4
Woodruff,1,6.4000001,40.599998,49.799999,9.6999998,6.4000001,4
Yell,1,7.6999998,35.299999,53.799999,12,4.4000001,1
