county,obe_21,fei_20,pi_20,aeo_20,uni_20,ieq_20,reg
Apache,35.400002,2,27.200001,19.299999,19.200001,7.5999999,1
Cochise,30.9,6.8000002,24.700001,59.700001,10.5,4.6999998,1
Coconino,24.5,6.0999999,17,82.900002,13.1,5.0999999,1
Gila,31.1,6.1999998,27.1,91.5,13.5,4.6999998,1
Graham,33.900002,6.3000002,23.299999,55.599998,10,4.6999998,1
Greenlee,30.200001,5.8000002,22.299999,46.099998,8.6000004,3.3,1
La Paz,33,6.1999998,39.599998,39.099998,19.799999,5.1999998,1
Maricopa,27.1,7.6999998,20.4,91.599998,12.1,4.5,1
Mohave,30.700001,5.8000002,32.200001,58.599998,13.4,4.1999998,1
Navajo,33.299999,4.5999999,28.9,56.299999,15.1,5.8000002,1
Pima,25.4,7.5,19.799999,87.800003,10.9,4.8000002,1
Pinal,34.200001,7.5999999,28.5,66,11,4.0999999,1
Santa Cruz,30.1,7.8000002,20.299999,66.699997,14,4.5999999,1
Yavapai,24.299999,6.8000002,23.200001,84.5,12.9,4.1999998,1
Yuma,37.900002,6.8000002,26.299999,83.599998,14.2,4.4000001,4
Arkansas,35,5.5,38.200001,48,8.8999996,5.5999999,4
Ashley,42,6,47.400002,50.099998,9.1999998,5.1999998,4
Baxter,31.1,7.6999998,29.799999,65.099998,8.3999996,3.8,4
Benton,31.1,8.1999998,23.799999,77.300003,10.4,4.1999998,4
Boone,29.200001,7,30.200001,54,8.6000004,4,4
Bradley,31.200001,6.5,40.799999,67,11.6,5.5,4
Calhoun,25.799999,4.5999999,37.099998,10.6,8.3000002,5.0999999,4
Carroll,29.5,8.1000004,33.5,52.200001,12.8,3.9000001,4
Chicot,40.599998,2.9000001,35.599998,29.4,8.8999996,6.3000002,4
Clark,26.4,5.0999999,38.299999,66.900002,7.1999998,4.9000001,4
Clay,37.400002,7.0999999,31.9,52.200001,8.6999998,5,4
Cleburne,33.700001,7.5999999,34.299999,65.800003,9.1000004,3.9000001,4
Cleveland,38.400002,7,32.900002,1.2,8.8999996,4.8000002,4
Columbia,43.5,5.9000001,34.299999,41.700001,8.3000002,6,4
Conway,39.799999,6.9000001,38.299999,42.900002,8.5,4.6999998,4
Craighead,39.299999,6.6999998,34,64.599998,7.9000001,4.8000002,4
Crawford,38.900002,7.4000001,31,74.400002,9.8999996,4.1999998,4
Crittenden,37,5.8000002,37.799999,73,8,4.6999998,4
Cross,42,6.6999998,36.5,49.700001,8.8000002,4.5,4
Dallas,39.799999,5.5,44.599998,18.5,8.1000004,4.0999999,4
